behavior_id,truck_id,timestamp,event,severity
4d041a3b-2fd8-462f-b882-0603d8ba69a1,TRUCK_006,2021-08-12 12:12:42.018538,Harsh Acceleration,0.8939226689646437
110b49ce-a524-42c7-b129-7230ca168c11,TRUCK_006,2021-06-29 16:38:59.770577,Harsh Acceleration,0.46263391079000804
bae50a32-d0fa-48c7-8d7c-a7a483e3c18e,TRUCK_026,2020-11-09 01:37:05.662472,Speeding,0.6985327330719661
58f85d45-49e9-410e-abc3-35c9a67be776,TRUCK_026,2025-05-15 18:28:54.565619,Harsh Acceleration,0.4527070781439131
35aaaa63-c27a-4808-abff-1e0c4e20bc2a,TRUCK_019,2023-08-23 00:12:15.040665,Harsh Acceleration,0.6240040895840047
94a86dcc-458f-4ce6-8654-e562fb0edd0a,TRUCK_022,2022-11-01 12:56:07.494584,Harsh Acceleration,0.23240420550746765
efdbf067-a662-4067-9769-cc3c3efba1a3,TRUCK_049,2024-03-08 02:07:18.224024,Speeding,0.9100773669420089
628ea1ec-5350-425f-a849-6cea3989b779,TRUCK_033,2024-06-22 05:14:07.591562,Harsh Acceleration,0.34170647744603716
aca7b5df-50b6-4ad3-a40d-4e37be79c252,TRUCK_012,2023-01-10 09:41:04.983181,Harsh Braking,0.5448425462379632
e1e2da50-b77f-4c3b-a42c-d6e97050b9e3,TRUCK_026,2021-11-29 19:17:25.328130,Harsh Braking,0.6144054823538116
d9d4f572-9b74-407b-8eb5-5d505034d372,TRUCK_043,2024-12-04 09:36:00.696439,Harsh Braking,0.523181033811121
8c17b955-9c55-4d7b-9c04-f1187a660c17,TRUCK_048,2023-06-12 08:39:12.935849,Harsh Braking,0.2832409174597047
6a9ad37a-4041-4c9a-8528-5e831c804d6f,TRUCK_028,2023-01-20 15:44:07.929312,Harsh Acceleration,0.97941314091941
7f746c92-8288-4954-89b3-82565f21d0c3,TRUCK_000,2023-09-21 05:37:45.848208,Harsh Braking,0.8215011796896055
2362d11a-627b-4ebc-b6a4-0c5b52537a97,TRUCK_045,2022-06-25 11:32:35.913264,Harsh Acceleration,0.7204870406598259
235a9e7b-4d62-4646-acca-babb898301e2,TRUCK_023,2023-03-15 02:42:56.954299,Harsh Braking,0.3082377258460225
c9688b17-4682-41f6-929f-af15b26eb4e1,TRUCK_048,2022-07-28 12:12:48.688431,Harsh Braking,0.9638154624921828
e57dc36f-c8c2-4b4d-bbf3-c74081f8f01c,TRUCK_011,2024-10-31 06:24:21.430631,Speeding,0.3199939189753359
c4b1b9f3-b0af-49b9-84da-90a8586f5fbd,TRUCK_045,2022-12-20 23:55:48.084907,Harsh Braking,0.4852398287704274
cc0f78fc-cc22-484c-b00b-d031dd7706ae,TRUCK_045,2023-07-26 12:41:29.850053,Harsh Acceleration,0.4060255875853396
5eca1de2-616d-4176-9b3e-e8e5d7d6231e,TRUCK_032,2021-06-25 15:39:55.947237,Harsh Braking,0.10641960783363852
3aa87447-13ba-45d1-9635-77f1a99c2400,TRUCK_021,2020-10-10 02:34:05.838870,Harsh Braking,0.7809311554775743
abd08ba0-fcf9-41ea-9acc-f2aa37b70918,TRUCK_020,2025-06-19 17:22:27.927045,Harsh Braking,0.4964489851864341
4ded7757-d302-45a2-b04b-da633a5ce65d,TRUCK_026,2022-01-31 18:47:51.376611,Harsh Acceleration,0.26279464510940465
